"Start time: 2024-12-05 19:17:19"
"Start due to power on record",
"Device ID: "
"Sample rate per sec.: 1.000000"
"UTC Time","200psi 5v           "," 5psi 5v"," O2 electrochemical"," O2 ZrO2"," Mass Flow 5v","O2 Paramagnetic"
"Time Stamp","Volt","Volt","Volt","Volt","Volt","Volt"
45631.80369212963,1.8878,0.5174,-0.0011,0.0203,0.0526,-0.0003
45631.80370370371,1.9155,0.5174,-0.0008,0.0203,0.0520,-0.0003
45631.80371527778,1.9460,0.5174,-0.0011,0.0200,0.0514,-0.0003
45631.80372685185,1.9622,0.5171,-0.0011,0.0200,0.0511,-0.0003
45631.80373842593,1.9717,0.5171,-0.0011,0.0200,0.0508,-0.0003
45631.80375000000,1.9766,0.5171,-0.0011,0.0200,0.0505,-0.0003
45631.80376157408,1.9772,0.5168,-0.0011,0.0203,0.0502,-0.0003
45631.80377314815,1.9778,0.5168,-0.0008,0.0203,0.0496,-0.0003
45631.80378472222,1.9775,0.5168,-0.0011,0.0200,0.0493,-0.0003
45631.80379629630,1.9766,0.5168,-0.0008,0.0200,0.0490,-0.0003
45631.80380787037,1.9757,0.5165,-0.0011,0.0203,0.0487,-0.0003
45631.80381944445,1.9744,0.5165,-0.0008,0.0203,0.0484,-0.0003
45631.80383101852,1.9732,0.5162,-0.0008,0.0203,0.0478,-0.0003
45631.80384259259,1.9711,0.5162,-0.0008,0.0200,0.0475,-0.0003
45631.80385416667,1.9699,0.5162,-0.0011,0.0200,0.0475,-0.0003
45631.80386574074,1.9683,0.5159,-0.0011,0.0200,0.0471,-0.0003
45631.80387731481,1.9662,0.5159,-0.0011,0.0203,0.0468,-0.0003
45631.80388888889,1.9641,0.5159,-0.0008,0.0200,0.0465,-0.0003
45631.80390046296,1.9619,0.5153,-0.0008,0.0200,0.0459,-0.0003
45631.80391203704,1.9598,0.5153,-0.0008,0.0203,0.0456,-0.0003
45631.80392361111,1.9580,0.5153,-0.0008,0.0200,0.0453,-0.0003
45631.80393518518,1.9564,0.5153,-0.0008,0.0200,0.0447,-0.0003
45631.80394675926,1.9552,0.5150,-0.0008,0.0200,0.0444,-0.0003
45631.80395833333,1.9531,0.5150,-0.0008,0.0200,0.0444,-0.0003
45631.80396990741,1.9512,0.5147,-0.0008,0.0203,0.0438,-0.0003
45631.80398148148,1.9494,0.5147,-0.0008,0.0203,0.0435,-0.0003
45631.80399305555,1.9476,0.5147,-0.0008,0.0200,0.0432,-0.0003
45631.80400462963,1.9451,0.5144,-0.0008,0.0203,0.0432,-0.0003
45631.80401620371,1.9436,0.5144,-0.0008,0.0200,0.0426,-0.0003
45631.80402777778,1.9424,0.5144,-0.0008,0.0200,0.0423,-0.0003
45631.80403935185,1.9403,0.5144,-0.0008,0.0203,0.0423,-0.0003
45631.80405092592,1.9384,0.5141,-0.0011,0.0200,0.0420,-0.0003
45631.80406250000,1.9366,0.5141,-0.0008,0.0203,0.0417,-0.0003
45631.80407407408,1.9348,0.5141,-0.0008,0.0200,0.0414,-0.0003
45631.80408564815,1.9332,0.5138,-0.0008,0.0200,0.0410,-0.0003
45631.80409722222,1.9320,0.5138,-0.0008,0.0200,0.0407,-0.0003
45631.80410879630,1.9302,0.5135,-0.0011,0.0200,0.0404,-0.0003
45631.80412037037,1.9283,0.5135,-0.0008,0.0203,0.0401,-0.0003
45631.80413194445,1.9262,0.5135,-0.0008,0.0203,0.0401,0.0000
45631.80414351852,1.9244,0.5174,-0.0008,0.0200,0.0395,0.3125
45631.80415509259,1.9229,0.5196,-0.0008,0.0200,0.0395,0.9811
45631.80416666667,1.9210,0.5192,-0.0008,0.0200,0.0395,0.9991
45631.80417824074,1.9195,0.5192,-0.0008,0.0200,0.0389,0.9998
45631.80418981481,1.9177,0.5189,-0.0008,0.0200,0.0389,0.9998
45631.80420138889,1.9161,0.5189,-0.0008,0.0890,0.0383,1.0001
45631.80421296296,1.9143,0.5189,-0.0008,0.5815,0.0380,1.0001
45631.80422453704,1.9128,0.5186,-0.0008,0.6670,0.0377,1.0001
45631.80423611111,1.9113,0.5183,-0.0008,1.2849,0.0374,1.0001
45631.80424768518,1.9097,0.5180,-0.0011,1.4876,0.0371,1.0001
45631.80425925926,1.9076,0.5183,-0.0008,4.6742,0.0368,1.0001
45631.80427083333,1.9064,0.5180,-0.0011,7.6984,0.0365,1.2286
45631.80428240741,1.9049,0.5180,-0.0008,9.0802,0.0365,1.8124
45631.80429398148,1.9033,0.5180,-0.0008,9.0796,0.0362,1.8317
45631.80430555555,1.9021,0.5177,-0.0008,9.0793,0.0362,1.8323
45631.80431712963,1.9000,0.5177,-0.0008,9.0790,0.0359,1.8326
45631.80432870371,1.8984,0.5177,-0.0008,9.0790,0.0356,1.8326
45631.80434027778,1.8969,0.5174,-0.0008,9.0790,0.0352,1.8326
45631.80435185185,1.8951,0.5174,-0.0011,9.0769,0.0349,1.8326
45631.80436342592,1.8939,0.5171,-0.0008,9.0756,0.0349,1.8326
45631.80437500000,1.8926,0.5171,-0.0008,9.0756,0.0349,1.8326
