"Start time: 2024-12-09 07:53:03"
"Start due to power on record",
"Device ID: "
"Sample rate per sec.: 1.000000"
"UTC Time","200psi 5v           "," 5psi 5v"," O2 electrochemical"," O2 ZrO2"," Mass Flow 5v","O2 Paramagnetic"
"Time Stamp","Volt","Volt","Volt","Volt","Volt","Volt"
45635.32850694444,0.4767,0.5125,0.0032,0.0200,0.0069,-0.0006
45635.32851851852,0.4788,0.5125,0.0026,0.0197,0.0069,-0.0003
45635.32853009259,0.4843,0.5125,0.0026,0.0197,0.0066,-0.0003
45635.32854166666,0.4874,0.5128,0.0029,0.0200,0.0066,-0.0003
45635.32855324074,0.4892,0.5128,0.0026,0.0197,0.0066,-0.0003
45635.32856481481,0.4916,0.5128,0.0026,0.0197,0.0066,-0.0006
45635.32857638889,0.4898,0.5128,0.0029,0.0197,0.0069,-0.0003
45635.32858796295,0.4919,0.5128,0.0029,0.3352,0.0066,-0.0003
45635.32859953703,0.4922,0.5125,0.0029,1.2285,0.0060,-0.0003
45635.32861111111,0.4932,0.5128,0.0029,1.7985,0.0060,-0.0003
45635.32862268518,0.4941,0.5125,0.0029,1.7943,0.0060,-0.0006
45635.32863425925,0.4944,0.5125,0.0029,1.7924,0.0066,-0.0003
45635.32864583333,0.4947,0.5128,0.0029,1.7912,0.0066,-0.0003
45635.32865740740,0.4947,0.5125,0.0029,1.7912,0.0066,-0.0003
45635.32866898148,0.4947,0.5125,0.0029,1.7912,0.0066,-0.0003
45635.32868055555,0.4950,0.5125,0.0029,1.7912,0.0066,-0.0003
45635.32869212962,0.4947,0.5125,0.0029,1.7912,0.0066,-0.0003
45635.32870370370,0.4953,0.5125,0.0029,1.7891,0.0066,-0.0003
45635.32871527777,0.4950,0.5125,0.0029,1.7882,0.0066,-0.0003
45635.32872685185,0.4950,0.5125,0.0029,1.7878,0.0066,-0.0003
45635.32873842592,0.4956,0.5125,0.0029,1.7882,0.0066,-0.0003
45635.32874999999,0.4953,0.5125,0.0029,1.7882,0.0066,-0.0003
45635.32876157407,0.4953,0.5125,0.0029,1.7878,0.0066,-0.0003
45635.32877314814,0.4956,0.5125,0.0029,1.7882,0.0066,-0.0003
45635.32878472222,0.4953,0.5125,0.0026,1.7878,0.0066,-0.0003
45635.32879629629,0.4953,0.5125,0.0029,1.7851,0.0066,-0.0003
45635.32880787036,0.4953,0.5125,0.0029,1.7851,0.0066,-0.0003
45635.32881944444,0.4953,0.5125,0.0029,1.7851,0.0066,-0.0003
45635.32883101852,0.4953,0.5122,0.0029,1.7851,0.0066,-0.0006
45635.32884259259,0.4953,0.5122,0.0029,1.7851,0.0066,-0.0003
45635.32885416666,0.4950,0.5125,0.0029,1.7854,0.0066,-0.0003
45635.32886574073,0.4953,0.5122,0.0026,1.7848,0.0066,-0.0003
45635.32887731481,0.4953,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32888888889,0.4953,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32890046296,0.4956,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32891203703,0.4956,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32892361111,0.4953,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32893518518,0.4950,0.5122,0.0029,1.7820,0.0066,-0.0003
45635.32894675925,0.4947,0.5128,0.0029,1.7817,0.0066,-0.0003
45635.32895833332,0.4950,0.5125,0.0029,1.7790,0.0066,-0.0003
45635.32896990740,0.4953,0.5122,0.0029,1.7790,0.0066,-0.0003
45635.32898148148,0.4953,0.5122,0.0029,1.7790,0.0066,-0.0003
45635.32899305555,0.4953,0.5122,0.0029,1.7790,0.0066,-0.0003
45635.32900462962,0.4959,0.5119,0.0029,1.7790,0.0066,-0.0003
45635.32901620370,0.4959,0.5119,0.0029,1.7790,0.0066,-0.0003
45635.32902777777,0.4956,0.5122,0.0029,1.7775,0.0066,-0.0003
45635.32903935185,0.4956,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32905092592,0.4956,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32906249999,0.4959,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32907407407,0.4956,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32908564814,0.4956,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32909722222,0.4956,0.5119,0.0029,1.7759,0.0066,-0.0003
45635.32910879629,0.4956,0.5119,0.0029,1.7741,0.0066,-0.0003
45635.32912037036,0.4956,0.5119,0.0029,1.7732,0.0066,-0.0003
45635.32913194444,0.4956,0.5119,0.0029,1.7732,0.0066,-0.0003
45635.32914351852,0.4956,0.5119,0.0029,1.7732,0.0066,-0.0003
45635.32915509259,0.4956,0.5119,0.0029,1.7732,0.0066,-0.0003
45635.32916666666,0.4953,0.5116,0.0029,1.7729,0.0066,-0.0003
45635.32917824073,0.4959,0.5119,0.0029,1.7726,0.0066,-0.0003
45635.32918981481,0.4953,0.5119,0.0029,1.7701,0.0066,-0.0003
45635.32920138889,0.4959,0.5116,0.0029,1.7701,0.0066,-0.0003
45635.32921296296,0.4959,0.5116,0.0029,1.7701,0.0066,-0.0003
45635.32922453703,0.4962,0.5116,0.0029,1.7701,0.0066,-0.0003
45635.32923611111,0.4959,0.5116,0.0029,1.7701,0.0066,-0.0003
45635.32924768518,0.4959,0.5119,0.0029,1.7701,0.0066,-0.0003
45635.32925925926,0.4953,0.5116,0.0029,1.7680,0.0066,-0.0003
45635.32927083332,0.4956,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32928240740,0.4953,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32929398148,0.4956,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32930555555,0.4956,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32931712962,0.4956,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32932870370,0.4956,0.5116,0.0029,1.7671,0.0066,-0.0003
45635.32934027777,0.4956,0.5116,0.0029,1.7653,0.0066,-0.0003
45635.32935185185,0.4959,0.5116,0.0029,1.7640,0.0066,-0.0003
45635.32936342592,0.4956,0.5116,0.0029,1.7640,0.0069,-0.0003
45635.32937499999,0.4953,0.5116,0.0029,1.7619,0.0066,-0.0003
45635.32938657407,0.4953,0.5116,0.0029,1.7610,0.0066,-0.0003
45635.32939814814,0.4956,0.5113,0.0029,1.7610,0.0066,-0.0003
45635.32940972222,0.4956,0.5116,0.0029,1.7607,0.0069,-0.0003
45635.32942129629,0.4959,0.5116,0.0029,1.7610,0.0069,-0.0003
45635.32943287036,0.4959,0.5113,0.0029,1.7610,0.0066,-0.0003
45635.32944444444,0.4956,0.5116,0.0029,1.7592,0.0066,-0.0003
45635.32945601852,0.4959,0.5113,0.0029,1.7579,0.0066,-0.0003
45635.32946759259,0.4956,0.5113,0.0029,1.7579,0.0066,-0.0003
45635.32947916666,0.4956,0.5113,0.0029,1.7579,0.0066,-0.0003
45635.32949074073,0.4959,0.5116,0.0029,1.7579,0.0066,-0.0003
45635.32950231481,0.4959,0.5116,0.0029,1.7579,0.0066,-0.0003
